obsid,leadid,ccode,idacr,leader,startdate,enddate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,deathdate,dbpedia.uri,num.entry,num.exit,num.exitcode,num.posttenurefate,fties,ftcur,middate,time.in.office,pos.y,hjust
JPN-2009,82551e78-1e42-11e4-b4cd-db5882bf8def,740,JPN,Yukio,2009-09-16,2010-06-08,Regular,Regular,Regular,0,OK,M,1947,-777,1947-02-11,NA,NA,0,1,0,0,NA,NA,2010-01-27,265,0.05,0.5
JPN-2010,82551e79-1e42-11e4-b4cd-db5882bf8def,740,JPN,Kan,2010-06-08,2011-09-02,Regular,Regular,Regular,0,OK,M,1946,-777,1946-10-10,NA,NA,0,1,0,0,NA,NA,2011-01-20,451,0.25,0.5
JPN-2011,82551e7a-1e42-11e4-b4cd-db5882bf8def,740,JPN,Noda,2011-09-02,2012-12-26,Regular,Regular,Regular,0,OK,M,1957,-777,1957-05-20,NA,NA,0,1,0,0,NA,NA,2012-04-30,481,0.05,0.5
JPN-2012,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,740,JPN,Abe,2012-12-26,2015-12-31,Regular,Still in Office,Still in Office,1,Leader Still in Office,M,1954,-777,1954-09-21,NA,NA,0,-888,-888,-888,NA,NA,2014-06-29,1100,0.25,0.5
MAL-1981,824c890c-1e42-11e4-b4cd-db5882bf8def,820,MAL,Mahathir,1981-07-16,2003-10-31,Regular,Regular,Regular,0,OK,M,1925,-777,1925-12-20,NA,http://dbpedia.org/resource/Mahathir_bin_Mohamad,0,1,0,0,NA,NA,2001-01-01,8142,0.25,0.5
MAL-2003,824c890d-1e42-11e4-b4cd-db5882bf8def,820,MAL,Badawi,2003-10-31,2009-04-03,Regular,Regular,Regular,0,OK,M,1939,-777,1939-11-26,NA,http://dbpedia.org/resource/Abdullah_Ahmad_Badawi,0,1,0,0,NA,NA,2006-07-18,1981,0.25,0.5
MAL-2009,8255e1c8-1e42-11e4-b4cd-db5882bf8def,820,MAL,Razak,2009-04-03,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1953,-777,1953-07-23,NA,NA,0,-888,-888,-888,Son of Razak%824c5832-1e42-11e4-b4cd-db5882bf8def,1,2012-08-17,2463,0.25,0.5
INS-1999,824d1b8a-1e42-11e4-b4cd-db5882bf8def,850,INS,Wahid,1999-10-20,2001-07-23,Regular,Regular,Regular,0,OK,M,1940,2009,NA,NA,NA,0,1,0,0,NA,NA,2000-09-05,642,0.25,0.5
INS-2001,824d1b8b-1e42-11e4-b4cd-db5882bf8def,850,INS,Megawati,2001-07-24,2004-10-20,Regular,Regular,Regular,0,OK,F,1947,-777,NA,NA,NA,0,1,0,0,Daughter of Sukarno%824ceab8-1e42-11e4-b4cd-db5882bf8def,1,2003-03-08,1184,0.25,0.5
INS-2004,824d1b8c-1e42-11e4-b4cd-db5882bf8def,850,INS,Yudhoyono,2004-10-20,2014-10-20,Regular,Regular,Regular,0,OK,M,1949,-777,1949-09-09,NA,NA,0,1,0,0,NA,NA,2009-10-20,3652,0.25,0.5
INS-2014,14a05fc3-aae0-11e4-b3bc-29f2fa19767e,850,INS,Widodo,2014-10-20,2015-12-31,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1961,-777,1961-06-21,NA,NA,0,-888,-888,-888,NA,NA,2015-05-27,437,0.25,0.8
